date,query,query_category,page,title,device,country,language,referrer,user_id,session_id,position,impressions,clicks,ctr,dwell_time_s,bounce,serp_features,is_brand
2025-06-23,amazon,informational,https://blog.example.com/aeobonqkw/fvyaocu,Amazon | Docs,mobile,US,en,google_discover,u_2c932b0c,s_1011b392,4,2,0,0.0,0,True,image,False
2025-06-23,bank,informational,https://news.example.com/djsna/mohvwrfu,Bank | Pricing,mobile,US,en,google_news,u_20aba8e9,s_35446137,20,4,0,0.0,0,True,shopping,False
2025-06-23,bank,informational,https://support.example.com/lxdpfmdkd/nqrzpx/fmyvzfoczu,Bank | Pricing,mobile,GB,en,google_images,u_f78d48d8,s_c461feb0,22,3,0,0.0,0,True,shopping,False
2025-06-23,bank,informational,https://support.example.com/dubjjjw/wyjwxw/idlrbzx,Bank,mobile,US,en-US,google_discover,u_6af24e53,s_82f6c902,5,3,0,0.0,0,True,shopping,False
2025-06-23,benefits of coffee,informational,https://shop.example.com/clntugpf/nxcguzjtqr,Benefits Of Coffee | Pricing,tablet,US,en,google_images,u_90243291,s_aa64a26f,3,2,0,0.0,0,True,shopping,False
2025-06-23,benefits of headphones,informational,https://news.example.com/iyxizcq,Benefits Of Headphones | Docs,mobile,US,en,google_images,u_c981b4cb,s_2c85ab99,15,1,0,0.0,0,True,news,False
2025-06-23,benefits of laptop,informational,https://shop.example.com/xjzhypnx/fybkgzmwb,Benefits Of Laptop | Pricing,mobile,US,en-US,google,u_bf6636a9,s_a09eb2b3,4,8,0,0.0,0,True,image,False
2025-06-23,benefits of laptop,informational,https://www.example.com/shnsybmnt,Benefits Of Laptop – Reviews,desktop,US,en,google_images,u_3bcd21f6,s_60897453,30,4,1,0.25,120,True,image,False
2025-06-23,benefits of laptop,informational,https://shop.example.com/fuzscyoa/ezfd,Benefits Of Laptop – Reviews,desktop,US,en,google_news,u_bcfafb3f,s_317524f5,22,1,0,0.0,0,True,image,False
2025-06-23,benefits of laptop,informational,https://news.example.com/telpnad,Benefits Of Laptop,desktop,AU,en,google_images,u_e5b4713d,s_102f55d5,34,2,0,0.0,0,True,image,False
2025-06-23,benefits of laptop,informational,https://docs.example.com/ygvppk,Benefits Of Laptop – Ultimate Guide,mobile,AU,en-GB,google,u_05c0ee96,s_d8d0223d,48,5,1,0.2,222,False,image,False
2025-06-23,benefits of laptop,informational,https://shop.example.com/wceo,Benefits Of Laptop – Ultimate Guide,mobile,US,en,google_news,u_9b8f4d60,s_2bfd8e6e,1,4,1,0.25,80,False,image,False
2025-06-23,benefits of laptop,informational,https://blog.example.com/gkuix/fqxkxy/cfbpibtylg,Benefits Of Laptop | Docs,desktop,BR,en,google_images,u_3c441068,s_2bb53c08,34,2,1,0.5,106,False,image,False
2025-06-23,benefits of laptop,informational,https://shop.example.com/ruksmwchx/oemkxz/ffhh,Benefits Of Laptop – Reviews,desktop,US,en-US,google,u_b9a004a9,s_9938903b,4,6,0,0.0,0,True,image,False
2025-06-23,benefits of laptop,informational,https://blog.example.com/luwry/vimvdjd/couymouxx,Benefits Of Laptop | Docs,mobile,US,de,google,u_65f0f274,s_c35039b0,4,1,0,0.0,0,True,image,False
2025-06-23,benefits of laptop,informational,https://docs.example.com/vquojgvwx/evpx/tlib,Benefits Of Laptop – Ultimate Guide,desktop,IN,en-US,google_discover,u_194a11e3,s_18a21813,11,2,1,0.5,62,False,image,False
2025-06-23,benefits of pizza,informational,https://shop.example.com/wphgjz/cjecqsmxuv,Benefits Of Pizza | Official Site,desktop,GB,en,google,u_fa611c85,s_4ddf7e4a,39,3,0,0.0,0,True,image,False
2025-06-23,best climate change,informational,https://news.example.com/hetbxjcmxi/vjjitkxwxb,Best Climate Change | Pricing,mobile,CA,en,google_discover,u_0c27668a,s_a2b5650d,12,4,0,0.0,0,True,shopping,False
2025-06-23,best climate change,informational,https://docs.example.com/gddggb/vezo/dvnk,Best Climate Change – Reviews,desktop,IN,en,google_images,u_7a86c5f0,s_0cd20562,19,3,0,0.0,0,True,shopping,False
2025-06-23,best credit card,informational,https://www.example.com/damxuqetzp/ybqulccgn/nzomta,Best Credit Card,mobile,FR,en,google,u_3b894f73,s_ee441b80,7,2,0,0.0,0,True,faq,False
2025-06-23,best fpga,informational,https://shop.example.com/arcfpf/pfninz/uhscve,Best Fpga | Pricing,desktop,IN,en,google,u_1ff0ddd6,s_15c6f98c,18,2,0,0.0,0,True,sitelinks,False
2025-06-23,best laptop,informational,https://news.example.com/qtgzqm/gkpgza/yonqkils,Best Laptop – Ultimate Guide,mobile,AU,en,google,u_7e202a95,s_5ba7f8da,4,1,1,1.0,85,False,shopping,False
2025-06-23,best way to c++,informational,https://shop.example.com/pflebuqtcq/nigyihd/eyxqlttbn,Best Way To C++ – Ultimate Guide,mobile,JP,en,google_discover,u_99b2bc4c,s_b86d8e85,9,4,0,0.0,0,True,faq,False
2025-06-23,best way to c++,informational,https://www.example.com/qpwyucb,Best Way To C++ – Reviews,mobile,AU,en,google,u_506aeb31,s_7a811324,15,5,0,0.0,0,True,faq,False
2025-06-23,best way to c++,informational,https://docs.example.com/qvwt/wheukkuug/nuinyixo,Best Way To C++,desktop,AU,en-US,google,u_e54f7b65,s_29aab34f,4,3,0,0.0,0,True,faq,False
2025-06-23,best way to climate change,informational,https://news.example.com/vhdaptiy/qhjn,Best Way To Climate Change | Pricing,desktop,AU,en-US,google_images,u_c72ed44c,s_9ac71e21,7,2,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://shop.example.com/hfit/imfgmdofm/wnuute,Best Way To Climate Change | Docs,desktop,GB,en,google_news,u_2acd5bca,s_4e4e6354,41,1,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://support.example.com/xvnt/cfxel,Best Way To Climate Change – Ultimate Guide,mobile,BR,en,google,u_862365da,s_f79ef1aa,49,2,1,0.5,169,False,none,False
2025-06-23,best way to climate change,informational,https://shop.example.com/zkrdhm,Best Way To Climate Change | Docs,mobile,US,en,google_news,u_53b76b6f,s_95b08de3,20,2,1,0.5,100,False,none,False
2025-06-23,best way to climate change,informational,https://docs.example.com/rcnpdmmkat,Best Way To Climate Change | Docs,mobile,JP,en-GB,google,u_c9c24f1a,s_a63d2fa6,3,1,1,1.0,84,False,none,False
2025-06-23,best way to climate change,informational,https://support.example.com/rotjre/vkbhudtok/rfjlejwv,Best Way To Climate Change | Official Site,mobile,US,en,google_news,u_05aad5e4,s_f17610a3,36,2,1,0.5,138,False,none,False
2025-06-23,best way to climate change,informational,https://blog.example.com/vqkvy/gutho/ffmuev,Best Way To Climate Change,mobile,FR,en,google_discover,u_14f322a4,s_f03e7c95,28,6,1,0.1667,126,False,none,False
2025-06-23,best way to climate change,informational,https://docs.example.com/dyjg/rtxrg,Best Way To Climate Change – Ultimate Guide,desktop,US,en,google_discover,u_55aba360,s_5dba4d8f,17,3,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://news.example.com/jriefjgh,Best Way To Climate Change – Ultimate Guide,desktop,IN,fr,google_images,u_dd00a4ef,s_90e7fedc,36,1,0,0.0,0,True,none,False
