event_date,search_query,query_intent_category,landing_page_url,page_title,device_type,user_country,user_language,traffic_referrer,user_id,session_id,rank_position,serp_impressions,serp_clicks,click_through_rate,dwell_time_seconds,bounced_session,serp_feature,is_brand_query
2025-07-08,bank,informational,https://support.example.com/byzf,Bank | Pricing,mobile,GB,en,google_news,u_6bbc002e,s_14260f71,11,3,0,0.0,0,True,faq,False
2025-07-08,bank,informational,https://news.example.com/ccmepad,Bank,mobile,US,en,google_news,u_dd1c0e13,s_2112486c,14,11,3,0.2727,67,False,faq,False
2025-07-08,bank,informational,https://www.example.com/msif/nmorntw,Bank,desktop,US,en,google_images,u_010da262,s_3254ac9f,22,6,1,0.1667,80,False,faq,False
2025-07-08,bank,informational,https://shop.example.com/qwwlbifk/bfsxc,Bank – Ultimate Guide,mobile,US,en,google,u_945a85b6,s_0020430a,5,4,0,0.0,0,True,faq,False
2025-07-08,bank,informational,https://shop.example.com/jmouqjkq,Bank – Reviews,desktop,GB,en,google_discover,u_a93643de,s_93a975b0,2,2,0,0.0,0,True,faq,False
2025-07-08,bank,informational,https://docs.example.com/xugghyeja/lxqn/vyii,Bank – Ultimate Guide,mobile,US,en,google_discover,u_1bda01e7,s_099460d7,4,3,0,0.0,0,True,faq,False
2025-07-08,bank,informational,https://www.example.com/pljwuz/jfll/qdeouuuu,Bank – Reviews,desktop,US,en,google,u_30f92b69,s_995e67ef,23,4,2,0.5,91,False,faq,False
2025-07-08,benefits of climate change,informational,https://docs.example.com/psewlkcd,Benefits Of Climate Change | Docs,desktop,US,en,google_news,u_49821766,s_f82a8b31,2,3,1,0.3333,88,False,news,False
2025-07-08,benefits of credit card,informational,https://support.example.com/wotroybyln,Benefits Of Credit Card | Pricing,mobile,DE,en,google,u_1e4061f2,s_e9fe8f67,13,6,1,0.1667,107,False,sitelinks,False
2025-07-08,benefits of credit card,informational,https://www.example.com/vtprsdcln/shputvoeg,Benefits Of Credit Card | Official Site,mobile,IN,en,google_discover,u_f0698986,s_9872b51d,3,4,1,0.25,93,False,sitelinks,False
2025-07-08,benefits of credit card,informational,https://blog.example.com/ubavafw/zkfawmlx/wulefafx,Benefits Of Credit Card – Ultimate Guide,mobile,US,en-GB,google,u_69b5ed9e,s_8db0732b,33,2,0,0.0,0,True,sitelinks,False
2025-07-08,benefits of credit card,informational,https://www.example.com/txhozpcgx/kavvbhaty,Benefits Of Credit Card | Docs,desktop,US,en,google_discover,u_59afac5b,s_098de0f1,26,2,0,0.0,0,True,sitelinks,False
2025-07-08,best c++,informational,https://www.example.com/dkovskotpo/bxhqk,Best C++ | Docs,desktop,US,en,google_discover,u_69a93d22,s_0a88872c,44,1,0,0.0,0,True,news,False
2025-07-08,best climate change,informational,https://blog.example.com/elfeqdsvvf,Best Climate Change,mobile,US,en,google_discover,u_3396e843,s_39abec8d,22,2,0,0.0,0,True,sitelinks,False
